                  method    est  mcse  lower  upper
34                TMLE.u  0.057 0.001  0.056  0.058
20                  SL.u  0.052 0.001  0.051  0.053
6                   PS.u  0.051 0.001  0.049  0.052
216 DC.TMLE.kitchen.sink  0.002 0.001  0.001  0.003
160    TMLE.kitchen.sink  0.000 0.000 -0.001  0.001
188           LASSO.TMLE  0.000 0.000 -0.001  0.001
174            hdPS.TMLE -0.001 0.000 -0.002  0.000
202      hdPS.LASSO.TMLE -0.001 0.000 -0.002  0.000
104      SL.kitchen.sink -0.004 0.001 -0.006 -0.003
132             LASSO.SL -0.004 0.001 -0.006 -0.003
76                 LASSO -0.006 0.001 -0.008 -0.005
48       PS.kitchen.sink -0.007 0.001 -0.008 -0.006
118              hdPS.SL -0.007 0.001 -0.008 -0.005
146        hdPS.LASSO.SL -0.007 0.001 -0.008 -0.005
62                  hdPS -0.008 0.001 -0.009 -0.007
90            hdPS.LASSO -0.008 0.001 -0.009 -0.007
