                  method   est  mcse  lower upper
110      SL.kitchen.sink 0.912 0.013  0.887 0.937
138             LASSO.SL 0.908 0.013  0.883 0.933
124              hdPS.SL 0.892 0.014  0.865 0.919
152        hdPS.LASSO.SL 0.892 0.014  0.865 0.919
82                 LASSO 0.874 0.015  0.845 0.903
96            hdPS.LASSO 0.860 0.016  0.830 0.890
54       PS.kitchen.sink 0.854 0.016  0.823 0.885
68                  hdPS 0.854 0.016  0.823 0.885
222 DC.TMLE.kitchen.sink 0.836 0.017  0.804 0.868
180            hdPS.TMLE 0.766 0.019  0.729 0.803
166    TMLE.kitchen.sink 0.764 0.019  0.727 0.801
208      hdPS.LASSO.TMLE 0.764 0.019  0.727 0.801
194           LASSO.TMLE 0.760 0.019  0.723 0.797
12                  PS.u 0.162 0.016  0.130 0.194
26                  SL.u 0.106 0.014  0.079 0.133
40                TMLE.u 0.002 0.002 -0.002 0.006
