                  method     est  mcse   lower   upper
25                  SL.u   0.722 3.189  -5.528   6.971
11                  PS.u  -3.416 3.060  -9.414   2.582
123              hdPS.SL  -7.092 2.943 -12.859  -1.324
151        hdPS.LASSO.SL  -7.185 2.939 -12.946  -1.424
109      SL.kitchen.sink  -7.730 2.922 -13.457  -2.003
137             LASSO.SL  -7.879 2.917 -13.597  -2.161
95            hdPS.LASSO -14.357 2.717 -19.682  -9.032
67                  hdPS -15.054 2.695 -20.337  -9.771
81                 LASSO -16.640 2.645 -21.824 -11.456
53       PS.kitchen.sink -17.591 2.616 -22.718 -12.465
221 DC.TMLE.kitchen.sink -28.766 2.255 -33.187 -24.346
165    TMLE.kitchen.sink -38.525 1.947 -42.341 -34.709
179            hdPS.TMLE -38.581 1.945 -42.394 -34.769
39                TMLE.u -39.642 1.911 -43.388 -35.896
193           LASSO.TMLE -40.022 1.900 -43.745 -36.298
207      hdPS.LASSO.TMLE -40.035 1.899 -43.757 -36.312
