                  method     est  mcse   lower   upper
39                TMLE.u  -0.701 3.150  -6.874   5.473
25                  SL.u  -1.722 3.114  -7.826   4.381
11                  PS.u  -3.416 3.060  -9.414   2.582
221 DC.TMLE.kitchen.sink  -4.251 3.033 -10.196   1.694
207      hdPS.LASSO.TMLE  -8.068 2.967 -13.882  -2.253
193           LASSO.TMLE  -8.338 2.963 -14.145  -2.531
179            hdPS.TMLE  -8.725 2.944 -14.496  -2.954
165    TMLE.kitchen.sink -10.455 2.871 -16.081  -4.829
151        hdPS.LASSO.SL -12.764 2.768 -18.189  -7.338
137             LASSO.SL -12.921 2.763 -18.336  -7.505
123              hdPS.SL -13.412 2.748 -18.798  -8.026
109      SL.kitchen.sink -13.748 2.737 -19.112  -8.384
95            hdPS.LASSO -14.357 2.717 -19.682  -9.032
67                  hdPS -15.054 2.695 -20.337  -9.771
81                 LASSO -16.640 2.645 -21.824 -11.456
53       PS.kitchen.sink -17.591 2.616 -22.718 -12.465
